date,casosNovos,casosAcumulados,localidade,obitosNovos,obitosAcumulados
2020-04-22,0,20,DSBN,0.0,0.0
2020-04-23,2,82,DSPR,0.0,2.0
2020-04-23,1,41,DSCJ,0.0,2.0
2020-04-23,3,74,DSSF,0.0,1.0
2020-04-23,1,21,DSBN,0.0,0.0
2020-04-23,20,524,Curitiba,0.0,14.0
2020-04-23,3,29,DSPN,0.0,1.0
2020-04-23,0,31,DSCIC,0.0,0.0
2020-04-23,2,56,DSBQ,0.0,3.0
2020-04-23,2,59,DSBV,0.0,1.0
2020-04-23,6,123,DSMZ,0.0,4.0
2020-04-23,0,4,DSTQ,0.0,0.0
2020-04-24,2,23,DSBN,0.0,0.0
2020-04-24,3,32,DSPN,0.0,1.0
2020-04-24,1,5,DSTQ,0.0,0.0
2020-04-24,1,32,DSCIC,0.0,0.0
2020-04-24,1,57,DSBQ,1.0,4.0
2020-04-24,1,60,DSBV,0.0,1.0
2020-04-24,3,126,DSMZ,0.0,4.0
2020-04-24,2,76,DSSF,0.0,1.0
2020-04-24,1,42,DSCJ,0.0,2.0
2020-04-24,6,88,DSPR,0.0,2.0
2020-04-24,21,545,Curitiba,1.0,15.0
2020-04-25,0,23,DSBN,0.0,0.0
2020-04-25,7,552,Curitiba,1.0,16.0
2020-04-25,1,33,DSPN,0.0,1.0
2020-04-25,1,77,DSSF,0.0,1.0
2020-04-25,0,60,DSBV,1.0,2.0
2020-04-25,1,58,DSBQ,0.0,4.0
2020-04-25,0,42,DSCJ,0.0,2.0
2020-04-25,2,90,DSPR,0.0,2.0
2020-04-25,2,128,DSMZ,0.0,4.0
2020-04-25,0,32,DSCIC,0.0,0.0
2020-04-25,0,5,DSTQ,0.0,0.0
2020-04-26,0,23,DSBN,0.0,0.0
2020-04-26,4,556,Curitiba,0.0,16.0
2020-04-26,0,42,DSCJ,0.0,2.0
2020-04-26,0,90,DSPR,0.0,2.0
2020-04-26,0,5,DSTQ,0.0,0.0
2020-04-26,2,79,DSSF,0.0,1.0
2020-04-26,0,128,DSMZ,0.0,4.0
2020-04-26,0,60,DSBV,0.0,2.0
2020-04-26,1,33,DSCIC,0.0,0.0
2020-04-26,0,33,DSPN,0.0,1.0
2020-04-26,1,59,DSBQ,0.0,4.0
2020-04-27,3,131,DSMZ,0.0,4.0
2020-04-27,3,82,DSSF,0.0,1.0
2020-04-27,1,91,DSPR,0.0,2.0
2020-04-27,0,33,DSPN,0.0,1.0
2020-04-27,2,62,DSBV,1.0,3.0
2020-04-27,14,570,Curitiba,1.0,17.0
2020-04-27,1,43,DSCJ,0.0,2.0
2020-04-27,1,34,DSCIC,0.0,0.0
2020-04-27,1,6,DSTQ,0.0,0.0
2020-04-27,1,60,DSBQ,0.0,4.0
2020-04-27,1,24,DSBN,0.0,0.0
2020-04-28,3,63,DSBQ,0.0,4.0
2020-04-28,2,45,DSCJ,0.0,2.0
2020-04-28,2,36,DSCIC,1.0,1.0
2020-04-28,6,88,DSSF,0.0,1.0
2020-04-28,3,36,DSPN,1.0,2.0
2020-04-28,3,65,DSBV,0.0,3.0
2020-04-28,5,136,DSMZ,0.0,4.0
2020-04-28,0,6,DSTQ,0.0,0.0
2020-04-28,2,26,DSBN,0.0,0.0
2020-04-28,2,93,DSPR,0.0,2.0
2020-04-28,28,598,Curitiba,2.0,19.0
2020-04-29,7,95,DSSF,0.0,1.0
2020-04-29,0,6,DSTQ,0.0,0.0
2020-04-29,1,27,DSBN,0.0,0.0
2020-04-29,2,67,DSBV,1.0,4.0
2020-04-29,2,38,DSCIC,0.0,1.0
2020-04-29,21,619,Curitiba,4.0,23.0
2020-04-29,1,46,DSCJ,0.0,2.0
2020-04-29,3,39,DSPN,0.0,2.0
2020-04-29,2,65,DSBQ,0.0,4.0
2020-04-29,2,138,DSMZ,2.0,6.0
2020-04-29,1,94,DSPR,1.0,3.0
2020-04-30,28,647,Curitiba,0.0,23.0
2020-04-30,0,39,DSPN,0.0,2.0
2020-04-30,0,6,DSTQ,0.0,0.0
2020-04-30,5,51,DSCJ,0.0,2.0
2020-04-30,5,143,DSMZ,0.0,6.0
2020-04-30,1,66,DSBQ,0.0,4.0
2020-04-30,2,40,DSCIC,0.0,1.0
2020-04-30,2,69,DSBV,0.0,4.0
2020-04-30,7,101,DSPR,0.0,3.0
2020-04-30,5,100,DSSF,0.0,1.0
2020-04-30,1,28,DSBN,0.0,0.0
2020-05-01,1,67,DSBQ,0.0,4.0
2020-05-01,0,28,DSBN,0.0,0.0
2020-05-01,0,40,DSCIC,0.0,1.0
2020-05-01,1,7,DSTQ,0.0,0.0
2020-05-01,1,40,DSPN,0.0,2.0
2020-05-01,3,72,DSBV,0.0,4.0
2020-05-01,0,143,DSMZ,0.0,6.0
2020-05-01,0,100,DSSF,0.0,1.0
2020-05-01,8,655,Curitiba,0.0,23.0
2020-05-01,1,52,DSCJ,0.0,2.0
2020-05-01,1,102,DSPR,0.0,3.0
2020-05-02,0,40,DSCIC,0.0,1.0
2020-05-02,12,667,Curitiba,2.0,25.0
2020-05-02,2,102,DSSF,0.0,1.0
2020-05-02,2,30,DSBN,0.0,0.0
